date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
5/19/2021,42866.07667,43590.93667,29067.3975,36700.54167,3428824986,-0.05193856,3376.163333,3441.668333,1786.55,2443.645,1712331878,-0.04628664,0.207822658,0.08563553,13.05242503,2487575.406,91295364845,6928.262642,20705829.54,50597696830,384618.4859
5/18/2021,43556.025,45805.335,42271.26,42865.45667,5880294350,0.00778979,3282.435,3564.563333,3240.898333,3376.085,2684797693,0.03342858,-0.591690915,0.13182553,15.49396491,2480647.144,1.06334E+11,-1582.161501,20321211.06,68606135826,-117831.9679
5/17/2021,46429.5,46629.135,42088.5,43557.945,5903910751,0.00815768,3581.94,3587.5,3117.2,3282.44,2749799452,0.04162776,-0.565128817,0.12987299,15.79424888,2482229.305,1.08121E+11,17104.65899,20439043.02,67089932382,3259.798478
5/16/2021,46758.29833,49795.615,43849.34833,46430.27833,6166166048,0.02012568,3647.003333,3879.355,3346.343333,3582.121667,3043176629,0.05173441,-0.619974152,0.12752656,17.205487,2465124.646,1.14456E+11,1197.48142,20435783.22,73203461865,48889.44351
5/15/2021,49861.29,50690.30667,46558.38333,46758.58167,6252306526,0.01427653,4077.55,4134.228333,3632.831667,3647.13,3072738849,0.05110527,-0.647190446,0.12940544,17.31052165,2463927.165,1.1521E+11,6284.121106,20386893.78,74353651917,-56717.21934
5/14/2021,49619.16167,51501.53333,48845.92667,49882.00375,5972134556,0.01266083,3719.091667,4174.3275,3692.625,4076.9275,3027492090,0.01968904,-0.453114808,0.1158951,18.54156155,2457643.044,1.22592E+11,7846.378055,20443611,83347119888,-33863.82835
5/13/2021,49528.17333,51366.32,45536.8,49676.995,6102024100,0.00416761,3822.64,4037.513333,3517.068,3719.038333,3037262628,0.02849607,-0.231657343,0.12009858,18.62886922,2449796.666,1.21699E+11,512.7226997,20477474.83,76156513859,-20479.49967
5/12/2021,56704.56833,58002.02833,48468.83333,49481.84167,6608305638,0.01718329,4175.798333,4376.035,3717.388333,3818.74,3230473447,0.03749201,-0.41167907,0.13173216,18.56495199,2449283.943,1.21195E+11,23027.07952,20497954.33,78276358114,67875.28053
5/11/2021,55834.13333,56889.87833,54466.40833,56704.58667,6586532202,0.01943845,3947.82,4181.818333,3771.276667,4175.858333,3271381012,0.02772796,-0.246112387,0.11614886,21.30806971,2426256.863,1.3758E+11,-6920.433312,20430079.05,85313115844,-136381.5754
5/10/2021,58262.955,59551.98167,53513.518,55834.115,6698079033,0.03642534,3925.768333,4209.18,3620.012,3947.575,3348586348,0.049438,-0.010770237,0.11928956,21.08873173,2433177.297,1.35854E+11,5705.664341,20566460.62,81187645797,-48879.49628
5/9/2021,58898.35833,59251.82167,56203.26833,58262.93833,6570008074,0.03850229,3912.381667,3983.84,3725.266667,3925.768333,3261057820,0.02442536,-0.491964364,0.11299693,22.34633766,2427471.632,1.41432E+11,7866.380619,20615340.12,80931049424,115741.2652
5/8/2021,57333.15167,59526.33333,56926.87167,58899.01167,6668640600,0.0300751,3481.208333,3959.583333,3450.911667,3912.253333,3222016099,0.03411165,-0.361216435,0.1142566,22.76326281,2419605.252,1.42512E+11,7769.820469,20499598.85,80199623952,-73185.82973
5/7/2021,56409.82667,58680.58,55255.22167,57333.02833,6429481190,0.01921664,3490.188333,3588.08,3353.37,3481.165,3045698447,0.03576196,-0.116476687,0.11361593,22.31534277,2411835.431,1.38278E+11,-8430.340874,20572784.68,71617257996,-53093.28205
5/6/2021,57471.11,58394.415,55241.04,56409.845,6596138914,0.04141698,3525.688333,3607.238333,3377.185,3490.176667,3141714363,0.04797425,-0.18894368,0.11903675,22.0397173,2420265.772,1.36527E+11,-1043.423463,20625877.97,71987958008,-78447.92147
